,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
196,255.20976,23.01096,NGC6278   ,1.02,0.409,0.401,G,0.521,0.368,0.576,0.411,F,F,Simbad,NED,LEDA,255.20976,23.01096,227
197,271.29175,25.23264,NGC6547   ,1.22,0.674,0.456,G,0.616,0.41,0.632,0.444,F,F,Simbad,NED,LEDA,271.29175,25.23264,228
198,271.49682,18.58722,NGC6548   ,0.66,0.107,0.107,C,0.315,0.254,0.326,0.261,F,F,Simbad,NED,LEDA,271.49682,18.58722,229
199,291.0133,53.62475,NGC6798   ,0.95,0.461,0.372,G,0.488,0.322,0.483,0.31,F,F,Simbad,NED,LEDA,291.0133,53.62475,231
200,336.6149,16.14827,NGC7280   ,0.82,0.363,0.377,G,0.606,0.538,0.557,0.503,F,F,Simbad,NED,LEDA,336.6149,16.14827,232
201,339.35217,23.79835,NGC7332   ,0.85,0.674,0.469,G,0.49,0.291,0.561,0.338,F,F,Simbad,NED,LEDA,339.35217,23.79835,233
202,345.24972,30.14489,NGC7457   ,0.62,0.47,0.438,G,0.546,0.478,0.519,0.465,F,F,Simbad,NED,LEDA,345.24972,30.14489,235
203,345.50397,15.96487,NGC7465   ,2.17,0.364,0.406,G,0.343,0.352,0.283,0.294,F,F,Simbad,NED,LEDA,345.50397,15.96487,236
204,353.29367,-1.29201,NGC7693   ,1.34,0.233,0.275,G,0.686,0.44,0.616,0.408,F,F,Simbad,NED,LEDA,353.29367,-1.29201,237
205,353.94226,-2.88094,NGC7710   ,1.84,0.581,0.548,S,0.293,0.136,0.34,0.137,F,S,Simbad,NED,LEDA,353.94226,-2.88094,238
206,72.14339,-3.8671,PGC016060 ,1.32,0.694,0.681,G,1.019,0.682,0.759,0.616,F,F,Simbad,NED,LEDA,72.14339,-3.8671,239
207,151.46322,12.96121,PGC029321 ,2.32,0.14,0.146,G,0.339,0.187,0.336,0.175,F,F,Simbad,NED,LEDA,151.46322,12.96121,241
208,173.61472,33.17891,PGC035754 ,2.6,0.275,0.333,G,0.258,0.275,0.21,0.266,F,F,Simbad,NED,LEDA,173.61472,33.17891,242
209,190.31651,-5.00918,PGC042549 ,1.57,0.369,0.45,G,0.771,0.56,0.673,0.529,F,F,Simbad,NED,LEDA,190.31651,-5.00918,243
210,194.57811,13.39141,PGC044433 ,3.0,0.335,0.184,S,0.362,0.205,0.357,0.2,F,F,Simbad,NED,LEDA,194.57811,13.39141,244
211,217.31032,44.6991,PGC051753 ,1.54,0.549,0.538,G,0.668,0.538,0.587,0.513,F,F,Simbad,NED,LEDA,217.31032,44.6991,246
