,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
1,IC0598    ,1.39,0.579,0.502,G,0.896,0.629,0.736,0.592,F,F,21.32,0.12   ,16.5 ,1.0   ,2.8,0.4 ,19.39 ,0.58     ,2.9  ,1.2     ,0.9,0.4   ,0.71,19.58,0.06   ,10.8,0.5   ,0.47,0.81,0.227,0.835545006668
2,IC0676    ,0.68,0.524,0.664,G,0.508,0.436,0.495,0.442,F,F,20.22,0.05   ,12.9 ,0.3   ,2.3,0.1 ,20.57 ,0.07     ,13.7 ,0.4     ,1.8,0.2   ,0.41,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.54242316651
3,IC0719    ,1.06,0.714,0.642,R,0.279,0.117,0.263,0.092,F,S,22.06,0.20   ,24.7 ,2.8   ,2.7,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.114820732549
4,IC0782    ,0.76,0.404,0.263,G,0.677,0.608,0.571,0.529,F,F,20.03,0.04   ,14.5 ,0.2   ,1.3,0.0 ,20.00 ,0.06     ,14.7 ,0.3     ,1.0,0.1   ,0.29,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.03152034422
5,IC1024    ,1.18,0.679,0.752,G,0.916,0.647,0.724,0.599,F,F,22.66,0.33   ,22.3 ,4.4   ,3.2,0.8 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.690745242012
6,IC3631    ,1.11,0.56,0.524,G,0.218,0.173,0.25,0.196,F,F,20.56,0.10   ,15.2 ,0.7   ,1.2,0.1 ,20.45 ,0.12     ,14.4 ,0.9     ,1.4,0.2   ,0.36,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.270763692358
7,NGC0448   ,1.22,0.643,0.656,G,0.38,0.377,0.327,0.291,F,F,21.26,0.10   ,12.4 ,0.6   ,1.8,0.2 ,20.89 ,0.17     ,11.5 ,1.3     ,1.1,0.4   ,0.83,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.359286640781
8,NGC0474   ,0.52,0.192,0.191,G,0.229,0.227,0.213,0.21,F,F,19.32,0.05   ,11.2 ,0.3   ,2.6,0.2 ,18.29 ,0.10     ,4.7  ,0.3     ,0.9,0.1   ,0.38,18.06,0.01   ,9.1,0.3   ,0.34,0.69,0.030,0.480510200054
9,NGC0502   ,1.44,0.146,0.047,G,0.213,0.168,0.234,0.172,F,F,23.84,0.67   ,77.5 ,42.2  ,10.6,2.0 ,18.62 ,0.11     ,4.3  ,0.3     ,1.8,0.5   ,0.93,20.16,0.03   ,21.3,0.9   ,0.77,0.67,0.036,0.793376838905
10,NGC0509   ,0.56,0.679,0.661,G,0.451,0.43,0.465,0.444,F,F,20.9,0.26   ,13.0 ,2.0   ,4.1,1.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.546112654834
11,NGC0516   ,0.95,0.699,0.701,G,0.786,0.624,0.655,0.579,F,F,22.03,0.21   ,23.5 ,2.9   ,1.6,0.4 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.691543581392
12,NGC0524   ,0.5,0.034,0.034,G,0.344,0.344,0.325,0.325,F,F,20.86,0.06   ,16.4 ,0.4   ,1.5,0.1 ,20.83 ,0.11     ,16.6 ,0.7     ,1.1,0.1   ,0.35,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.76255996978
13,NGC0525   ,1.41,0.28,0.173,G,0.404,0.285,0.418,0.274,F,F,20.67,0.13   ,31.9 ,2.1   ,2.8,0.2 ,21.83 ,0.69     ,41.4 ,16.2    ,5.3,2.3   ,0.94,19.57,0.07   ,18.6,1.9   ,0.96,0.28,0.043,0.658760440463
14,NGC0680   ,1.19,0.189,0.185,G,0.413,0.361,0.406,0.36,F,F,21.29,0.05   ,20.5 ,0.5   ,5.9,0.2 ,21.07 ,0.08     ,18.3 ,0.7     ,5.1,0.4   ,0.73,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.836982998955
15,NGC0770   ,2.01,0.276,0.299,G,0.184,0.117,0.195,0.114,F,S,22.4,0.34   ,32.6 ,7.1   ,9.2,1.4 ,22.55 ,0.40     ,35.5 ,10.3    ,8.1,1.5   ,0.81,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.208482332448
16,NGC0821   ,0.49,0.392,0.392,G,0.288,0.288,0.273,0.273,F,F,19.63,0.10   ,6.0  ,0.3   ,2.4,0.2 ,19.25 ,0.12     ,4.8  ,0.5     ,1.3,0.3   ,0.71,21.13,0.08   ,10.9,2.1   ,0.73,0.31,0.102,0.436033255612
17,NGC0936   ,1.0,0.223,0.223,C,0.677,0.448,0.657,0.43,F,F,25.14,0.09   ,248.7,49.3  ,10.4,0.7 ,18.58 ,0.22     ,5.0  ,0.7     ,1.6,0.4   ,0.66,19.08,0.02   ,16.8,1.5   ,0.6,0.74,0.043,0.910575632258
18,NGC1023   ,0.47,0.363,0.363,G,0.372,0.372,0.391,0.391,F,F,21.55,0.44   ,53.2 ,24.9  ,4.3,2.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.648968242377
19,NGC1121   ,2.14,0.559,0.45,G,0.828,0.587,0.711,0.548,F,F,21.39,0.23   ,157.7,22.4  ,6.1,0.4 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.81691016778
20,NGC1248   ,1.1,0.227,0.138,G,0.521,0.337,0.535,0.353,F,F,21.05,0.14   ,14.8 ,1.0   ,3.4,0.5 ,22.38 ,0.56     ,22.5 ,13.1    ,5.4,2.5   ,0.72,19.94,0.09   ,7.7,1.0   ,0.72,0.21,0.035,0.950244057133
21,NGC1266   ,0.88,0.193,0.207,G,0.775,0.589,0.638,0.517,F,F,20.6,0.12   ,12.2 ,0.7   ,1.8,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.13633234915
22,NGC1665   ,0.65,0.491,0.44,G,0.669,0.478,0.658,0.511,F,F,22.46,0.22   ,30.1 ,4.1   ,5.9,0.8 ,22.52 ,0.30     ,30.7 ,6.2     ,5.3,1.1   ,0.59,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.770361485396
23,NGC2481   ,1.26,0.684,0.467,G,0.686,0.399,0.678,0.428,F,F,21.87,0.33   ,26.5 ,5.9   ,2.0,1.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.626304206688
24,NGC2549   ,0.88,0.587,0.488,G,0.623,0.563,0.572,0.523,F,F,19.28,0.26   ,8.3  ,1.0   ,3.9,0.7 ,18.25 ,0.49     ,2.4  ,1.3     ,0.9,0.5   ,0.81,18.21,0.03   ,9.5,0.5   ,0.44,0.82,0.093,0.748672322115
25,NGC2577   ,1.13,0.471,0.421,G,0.874,0.733,0.696,0.623,F,F,19.95,0.14   ,25.1 ,2.0   ,3.2,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.960167493306
26,NGC2592   ,1.39,0.208,0.21,G,0.529,0.422,0.549,0.431,F,F,20.57,0.07   ,15.3 ,0.5   ,3.3,0.2 ,18.71 ,0.07     ,4.0  ,0.2     ,1.2,0.2   ,0.62,19.16,0.02   ,12.2,0.2   ,0.55,0.72,0.018,0.940519106917
27,NGC2594   ,2.92,0.403,0.433,G,0.455,0.45,0.404,0.444,F,F,20.46,0.14   ,11.4 ,0.8   ,3.3,0.5 ,20.59 ,0.08     ,12.2 ,0.5     ,2.7,0.3   ,0.8,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.674743985321
28,NGC2679   ,0.46,0.368,0.368,G,0.185,0.185,0.193,0.193,F,F,19.58,0.36   ,4.8  ,0.9   ,12.0,3.6 ,18.43 ,0.23     ,3.1  ,0.4     ,1.6,2.2   ,0.55,20.73,0.11   ,9.0,5.9   ,0.6,0.33,0.268,0.318151078413
29,NGC2685   ,0.9,0.612,0.592,G,0.84,0.734,0.691,0.632,F,F,22.51,0.28   ,26.3 ,4.7   ,3.3,0.9 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.821402886958
30,NGC2695   ,1.04,0.293,0.225,G,0.582,0.422,0.575,0.406,F,F,21.01,0.11   ,27.2 ,1.4   ,4.3,0.4 ,18.05 ,0.42     ,4.1  ,1.0     ,0.9,0.4   ,0.48,18.58,0.03   ,15.3,0.5   ,0.43,0.81,0.178,0.855923153352
31,NGC2698   ,1.27,0.516,0.267,S,0.569,0.331,0.593,0.345,F,F,20.87,0.11   ,18.2 ,0.9   ,4.2,0.4 ,21.02 ,0.18     ,19.5 ,1.8     ,3.9,0.7   ,0.7,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.667672462255
32,NGC2699   ,1.39,0.143,0.202,G,0.45,0.393,0.444,0.398,F,F,19.9,0.09   ,13.8 ,0.6   ,3.4,0.4 ,17.50 ,0.29     ,2.2  ,0.3     ,1.0,0.3   ,0.76,18.48,0.02   ,11.0,0.1   ,0.51,0.77,0.030,0.885538377385
33,NGC2764   ,1.25,0.614,0.662,G,0.783,0.568,0.658,0.535,F,F,20.2,0.08   ,9.6  ,0.4   ,4.1,0.4 ,19.66 ,0.17     ,7.6  ,0.6     ,2.9,0.5   ,0.85,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.65754395164
34,NGC2768   ,0.35,0.472,0.472,G,0.236,0.236,0.253,0.253,F,F,20.84,0.04   ,15.7 ,0.3   ,1.6,0.1 ,20.41 ,0.05     ,14.6 ,0.3     ,1.1,0.1   ,0.38,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.36825573741
35,NGC2778   ,1.05,0.224,0.201,G,0.574,0.419,0.572,0.435,F,F,21.63,0.06   ,81.8 ,2.3   ,3.3,0.1 ,21.68 ,0.16     ,80.3 ,7.1     ,2.9,0.2   ,0.46,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.970266927421
36,NGC2824   ,2.49,0.162,0.107,G,0.534,0.407,0.492,0.37,F,F,20.79,0.12   ,13.4 ,0.7   ,2.0,0.4 ,19.11 ,0.22     ,3.3  ,0.4     ,1.0,0.3   ,0.87,19.36,0.04   ,9.9,0.2   ,0.79,0.78,0.027,1.13112300495
37,NGC2852   ,2.6,0.135,0.043,G,0.32,0.186,0.368,0.201,F,F,20.82,0.61   ,9.1  ,11.1  ,6.9,2.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.969308072563
38,NGC2859   ,0.6,0.089,0.057,G,0.41,0.408,0.359,0.361,F,F,19.91,0.37   ,5.6  ,1.2   ,7.9,1.7 ,19.78 ,0.26     ,5.2  ,1.1     ,1.7,2.0   ,0.89,22.26,0.18   ,17.1,11.4  ,0.86,0.31,0.279,1.51206260893
39,NGC2880   ,0.81,0.282,0.208,G,0.627,0.508,0.581,0.482,F,F,21.07,0.54   ,25.6 ,12.3  ,6.3,2.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.05685491326
40,NGC2950   ,1.11,0.362,0.237,G,0.488,0.472,0.436,0.428,F,F,21.09,0.10   ,23.8 ,1.2   ,4.4,0.4 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.879163392119
41,NGC2962   ,0.64,0.484,0.319,G,0.376,0.298,0.43,0.329,F,F,20.0,0.26   ,19.1 ,2.9   ,6.5,1.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.582506205653
42,NGC2974   ,0.53,0.407,0.403,R,0.813,0.811,0.663,0.664,F,F,23.33,0.57   ,71.7 ,47.9  ,6.4,2.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.04596115581
43,NGC3032   ,1.32,0.102,0.176,G,0.267,0.173,0.344,0.201,F,F,20.93,0.15   ,33.1 ,2.6   ,4.0,0.4 ,20.16 ,0.33     ,22.1 ,4.9     ,2.7,0.6   ,0.61,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.479114951096
44,NGC3073   ,1.24,0.124,0.162,G,0.136,0.092,0.145,0.086,F,S,22.7,0.43   ,32.8 ,12.6  ,4.2,1.7 ,22.16 ,0.17     ,26.2 ,2.3     ,2.3,0.4   ,0.85,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.21366871785
45,NGC3098   ,1.2,0.553,0.44,S,0.744,0.446,0.635,0.422,F,F,22.73,0.12   ,21.5 ,1.2   ,4.4,0.4 ,22.56 ,0.14     ,20.0 ,1.4     ,3.8,0.5   ,0.91,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.636188937059
46,NGC3156   ,0.96,0.478,0.469,G,0.771,0.611,0.648,0.559,F,F,19.29,0.03   ,15.7 ,0.2   ,1.6,0.0 ,18.61 ,0.75     ,2.1  ,1.5     ,0.6,0.1   ,0.8,17.66,0.03   ,9.9,0.5   ,0.36,0.94,0.060,0.816254120304
47,NGC3182   ,0.79,0.166,0.195,G,0.372,0.405,0.306,0.369,F,F,20.84,0.03   ,19.9 ,0.3   ,1.8,0.1 ,20.89 ,0.03     ,20.5 ,0.2     ,1.5,0.0   ,0.52,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.835620451199
48,NGC3193   ,0.57,0.129,0.143,G,0.208,0.208,0.195,0.197,F,F,21.6,0.06   ,21.3 ,0.6   ,2.9,0.1 ,21.75 ,0.09     ,22.6 ,1.0     ,3.1,0.2   ,0.85,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.520952597068
49,NGC3226   ,0.53,0.168,0.159,G,0.273,0.275,0.251,0.257,F,F,21.52,0.04   ,33.1 ,0.6   ,5.3,0.1 ,23.58 ,1.05     ,90.3 ,17.5    ,9.3,0.8   ,0.87,19.37,0.07   ,6.2,3.3   ,0.85,0.04,0.023,0.64451727341
50,NGC3230   ,0.81,0.55,0.36,G,0.617,0.393,0.609,0.403,F,F,22.95,0.29   ,65.4 ,13.3  ,4.6,0.7 ,21.98 ,0.46     ,27.2 ,28.9    ,5.1,0.6   ,0.83,21.02,0.12   ,29.4,4.9   ,0.83,0.41,0.210,0.671666666667
51,NGC3245   ,0.62,0.442,0.444,G,0.624,0.579,0.626,0.592,F,F,20.35,0.12   ,19.5 ,1.2   ,2.0,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.888444333278
52,NGC3248   ,1.09,0.374,0.29,G,0.514,0.38,0.511,0.35,F,F,20.32,0.31   ,24.5 ,7.0   ,3.2,1.9 ,18.53 ,0.47     ,5.9  ,4.5     ,2.3,1.3   ,0.71,19.06,0.05   ,20.6,1.0   ,0.54,0.67,0.147,0.64993368362
53,NGC3301   ,0.81,0.507,0.324,G,0.676,0.55,0.603,0.461,F,F,22.08,0.31   ,27.8 ,5.6   ,5.2,1.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.809894445188
54,NGC3377   ,0.42,0.503,0.503,G,0.564,0.564,0.522,0.522,F,F,20.28,0.19   ,27.0 ,3.5   ,2.2,0.8 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.736014737513
55,NGC3379   ,0.5,0.104,0.104,G,0.152,0.152,0.157,0.157,F,F,21.61,0.16   ,53.4 ,4.5   ,5.0,0.5 ,18.44 ,0.51     ,7.2  ,2.0     ,2.5,1.7   ,0.52,18.81,0.03   ,21.9,1.0   ,0.49,0.69,0.130,0.486836333263
56,NGC3384   ,0.54,0.065,0.058,G,0.456,0.449,0.407,0.397,F,F,20.83,0.23   ,49.7 ,6.4   ,5.3,0.9 ,20.74 ,0.65     ,40.4 ,16.9    ,6.2,1.9   ,0.86,20.48,0.10   ,36.3,6.7   ,0.87,0.19,0.126,1.6484527751
57,NGC3400   ,1.02,0.437,0.437,C,0.764,0.48,0.664,0.47,F,F,20.4,0.31   ,40.8 ,14.2  ,5.1,2.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.710979599459
58,NGC3412   ,0.51,0.441,0.441,C,0.375,0.371,0.406,0.403,F,F,20.95,0.10   ,14.6 ,0.6   ,1.4,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.606856141451
59,NGC3457   ,1.28,0.033,0.032,S,0.109,0.091,0.104,0.086,F,F,21.37,0.19   ,33.4 ,3.5   ,4.2,0.6 ,18.95 ,0.31     ,6.8  ,1.0     ,2.3,0.9   ,0.78,19.87,0.04   ,24.4,0.7   ,0.76,0.66,0.086,0.480754615162
60,NGC3458   ,1.61,0.231,0.114,G,0.438,0.245,0.461,0.25,F,F,20.22,0.09   ,9.7  ,0.4   ,1.2,0.1 ,18.26 ,0.54     ,1.8  ,1.0     ,0.8,0.3   ,1.0,18.56,0.04   ,6.3,0.1   ,0.95,0.84,0.063,0.740436097199
61,NGC3489   ,0.77,0.262,0.221,G,0.687,0.621,0.589,0.552,F,F,19.97,0.32   ,10.1 ,2.3   ,1.7,0.9 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.17420233828
