,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
107,NGC4283   ,1.44,0.033,0.031,G,0.172,0.155,0.171,0.151,F,F,20.63,0.11   ,28.5 ,1.5   ,2.8,0.3 ,21.84 ,0.76     ,27.7 ,11.7    ,7.1,2.8   ,0.45,19.19,0.07   ,19.0,1.4   ,0.47,0.54,0.062,0.857622369713
108,NGC4324   ,0.83,0.434,0.197,G,0.639,0.407,0.592,0.389,F,F,19.92,0.14   ,9.0  ,0.6   ,4.6,0.5 ,22.18 ,1.32     ,21.7 ,6.5     ,7.6,1.1   ,0.96,18.27,0.05   ,3.9,3.1   ,0.95,0.19,0.000,0.87642849312
109,NGC4339   ,0.55,0.06,0.06,G,0.311,0.302,0.325,0.312,F,F,20.25,0.18   ,22.1 ,2.7   ,1.8,0.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.27373466625
110,NGC4340   ,0.62,0.227,0.237,G,0.499,0.481,0.458,0.442,F,F,21.88,0.20   ,31.3 ,3.6   ,4.1,0.6 ,19.85 ,0.36     ,8.3  ,1.9     ,1.9,0.8   ,0.96,20.69,0.06   ,24.5,1.8   ,0.94,0.6,0.094,0.90792107317
111,NGC4342   ,2.45,0.442,0.263,S,0.537,0.307,0.528,0.306,F,F,22.32,0.49   ,51.3 ,25.4  ,5.3,2.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.596682845615
112,NGC4346   ,0.77,0.533,0.36,G,0.571,0.428,0.576,0.439,F,F,17.98,0.28   ,5.6  ,0.7   ,2.9,0.4 ,18.61 ,0.12     ,8.2  ,0.5     ,1.2,0.1   ,0.38,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.731666666667
113,NGC4350   ,0.77,0.674,0.55,G,0.658,0.46,0.638,0.48,F,F,19.84,0.11   ,22.8 ,1.3   ,2.8,0.4 ,17.91 ,0.18     ,4.2  ,0.4     ,0.9,0.3   ,0.75,18.86,0.02   ,21.1,0.4   ,0.44,0.77,0.021,0.647231867965
114,NGC4371   ,0.51,0.309,0.313,G,0.541,0.541,0.482,0.482,F,F,22.08,0.18   ,86.3 ,8.6   ,5.2,0.4 ,22.16 ,0.19     ,91.1 ,9.6     ,5.2,0.4   ,0.76,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.861538856511
115,NGC4377   ,1.3,0.157,0.228,S,0.443,0.314,0.473,0.338,F,F,21.9,0.12   ,87.0 ,5.4   ,6.0,0.3 ,21.52 ,0.11     ,73.2 ,4.1     ,5.8,0.3   ,0.94,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.707863105013
116,NGC4379   ,0.9,0.224,0.258,G,0.386,0.294,0.398,0.3,F,F,20.14,0.27   ,13.0 ,2.6   ,2.2,1.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.590624423219
